,Pos,Pld,W,D,L,GF,GA,GD,Pts,Team,PredictedPoints,PredictedPointsExtracted,PointPredDiff
1990–91,14,38,14,7,17,37,53,−16,35,Tenerife,Tenerife finished the 1990-91 La Liga season with 44 points.,44.0,9.0
1990–91,15,38,9,16,13,32,40,−8,34,Mallorca,Mallorca finished the 1990-91 La Liga season with 45 points.,45.0,11.0
1990–91,16,38,12,10,16,39,47,−8,34,Español,"According to the records, Español finished the 1990-91 La Liga season with 34 points.",34.0,0.0
1990–91,17,38,11,11,16,36,40,−4,33,Zaragoza,"According to the records, Real Zaragoza finished the 1990-91 La Liga season with 43 points.",43.0,10.0
1990–91,18,38,7,15,16,29,41,−12,29,Cádiz,Cádiz finished the 1990-91 La Liga season with 38 points.,38.0,9.0
1990–91,19,38,8,12,18,27,48,−21,28,Castellón,Castellón did not play in the 1990-91 La Liga season. They were relegated to Segunda División at the end of the 1989-90 season and did not participate in La Liga during the 1990-91 season.,,
1990–91,20,38,6,13,19,37,65,−28,25,Real Betis,"According to the records, Real Betis finished the 1990-91 La Liga season with 46 points.",46.0,21.0
1991–92,1,38,23,9,6,87,37,+50,55,Barcelona,Barcelona finished the 1991-92 La Liga season with 56 points.,56.0,1.0
1991–92,2,38,23,8,7,78,32,+46,54,Real Madrid,Real Madrid finished the 1991-92 La Liga season with 56 points.,56.0,2.0
1991–92,3,38,24,5,9,67,35,+32,53,Atlético Madrid,"According to the records, Atlético Madrid finished the 1991-92 La Liga season with 54 points.",54.0,1.0
1991–92,4,38,20,7,11,63,42,+21,47,Valencia,"According to the records, in the 1991-92 La Liga season, Valencia finished with 40 points.",40.0,7.0
1991–92,5,38,16,12,10,44,38,+6,44,Real Sociedad,Real Sociedad finished the 1991-92 La Liga season with 55 points.,55.0,11.0
1991–92,6,38,17,7,14,40,41,−1,41,Zaragoza,"According to the records, Real Zaragoza finished the 1991-92 La Liga season with 47 points.",47.0,6.0
1991–92,7,38,16,8,14,45,47,−2,40,Albacete,Albacete finished the 1991-92 La Liga season with 31 points.,31.0,9.0
1991–92,8,38,15,8,15,37,43,−6,38,Sporting Gijón,Sporting Gijón finished the 1991-92 La Liga season with 38 points.,38.0,0.0
1991–92,9,38,12,13,13,40,43,−3,37,Real Burgos,Real Burgos finished the 1991-92 La Liga season with 31 points.,31.0,6.0
1991–92,10,38,13,10,15,36,51,−15,36,Logroñés,Logroñés finished the 1991-92 La Liga season with 33 points.,33.0,3.0
1991–92,11,38,14,8,16,41,46,−5,36,Oviedo,"According to the records, Real Oviedo finished the 1991-92 La Liga season with 38 points.",38.0,2.0
1991–92,12,38,13,8,17,48,45,+3,34,Sevilla,"According to the records, Sevilla finished the 1991-92 La Liga season with 36 points.",36.0,2.0
1991–92,13,38,12,10,16,46,50,−4,34,Tenerife,Tenerife finished the 1991-92 La Liga season with 31 points.,31.0,3.0
1991–92,14,38,13,7,18,38,58,−20,33,Athletic Bilbao,Athletic Bilbao finished the 1991-92 La Liga season with 44 points.,44.0,11.0
1991–92,15,38,10,13,15,30,40,−10,33,Osasuna,"According to the records, Osasuna finished the 1991-92 La Liga season with 32 points.",32.0,1.0
1991–92,16,38,12,8,18,43,60,−17,32,Español,"According to the records, in the 1991-92 La Liga season, Español finished with 39 points.",39.0,7.0
1991–92,17,38,8,15,15,37,48,−11,31,Deportivo La Coruña,Deportivo La Coruña finished the 1991-92 La Liga season with 54 points.,54.0,23.0
1991–92,18,38,7,14,17,32,55,−23,28,Cádiz,Cádiz finished the 1991-92 La Liga season with 31 points.,31.0,3.0
1991–92,19,38,7,13,18,31,53,−22,27,Valladolid,"According to the records, Real Valladolid finished the 1991-92 La Liga season with 36 points.",36.0,9.0
1991–92,20,38,10,7,21,30,49,−19,27,Mallorca,"According to the records, in the 1991-92 La Liga season, Mallorca finished with 38 points.",38.0,11.0
1992–93,1,38,25,8,5,87,34,+53,58,Barcelona,Barcelona finished the 1992-93 La Liga season with 58 points.,58.0,0.0
1992–93,2,38,24,9,5,75,28,+47,57,Real Madrid,Real Madrid finished the 1992-93 La Liga season with 75 points.,75.0,18.0
1992–93,3,38,22,10,6,67,33,+34,54,Deportivo La Coruña,Deportivo La Coruña finished the 1992-93 La Liga season with 54 points.,54.0,0.0
1992–93,4,38,19,10,9,60,33,+27,48,Valencia,Valencia finished the 1992-93 La Liga season with 55 points.,55.0,7.0
1992–93,5,38,15,14,9,59,47,+12,44,Tenerife,Tenerife finished the 1992-93 La Liga season with 36 points.,36.0,8.0
1992–93,6,38,16,11,11,52,42,+10,43,Atlético Madrid,"According to the records, Atlético Madrid finished the 1992-93 La Liga season with 65 points.",65.0,22.0
1992–93,7,38,17,9,12,46,44,+2,43,Sevilla,"According to the records, Sevilla finished the 1992-93 La Liga season with 43 points.",43.0,0.0
1992–93,8,38,17,6,15,53,49,+4,40,Athletic Bilbao,Athletic Bilbao finished the 1992-93 La Liga season with 40 points.,40.0,0.0
1992–93,9,38,11,13,14,37,52,−15,35,Zaragoza,"According to the records, Real Zaragoza finished the 1992-93 La Liga season with 45 points.",45.0,10.0
1992–93,10,38,12,10,16,42,41,+1,34,Osasuna,"According to the records, Osasuna finished the 1992-93 La Liga season with 43 points.",43.0,9.0
1992–93,11,38,9,16,13,25,32,−7,34,Celta Vigo,Celta Vigo finished the 1992-1993 La Liga season with 36 points.,36.0,2.0
1992–93,12,38,11,12,15,38,57,−19,34,Sporting Gijón,Sporting Gijón finished the 1992-1993 La Liga season with 37 points.,37.0,3.0
1992–93,13,38,13,8,17,46,59,−13,34,Real Sociedad,Real Sociedad finished the 1992-93 La Liga season with 69 points.,69.0,35.0
1992–93,14,38,8,17,13,40,49,−9,33,Rayo Vallecano,"According to the records, Rayo Vallecano finished the 1992-93 La Liga season with 31 points.",31.0,2.0
1992–93,15,38,11,11,16,32,48,−16,33,Logroñés,Logroñés finished the 1992-1993 La Liga season with 29 points.,29.0,4.0
1992–93,16,38,11,10,17,42,52,−10,32,Oviedo,Oviedo finished the 1992-93 La Liga season with 45 points.,45.0,13.0
1992–93,17,38,11,9,18,54,59,−5,31,Albacete,Albacete finished the 1992-93 La Liga season with 45 points.,45.0,14.0
1992–93,18,38,9,11,18,40,56,−16,29,Español,"According to the records, Español finished the 1992-93 La Liga season with 45 points.",45.0,16.0
1992–93,19,38,5,12,21,30,70,−40,22,Cádiz,Cádiz CF finished the 1992-1993 La Liga season with 22 points.,22.0,0.0
1992–93,20,38,4,14,20,29,69,−40,22,Real Burgos,Real Burgos finished the 1992-1993 La Liga season with 29 points.,29.0,7.0
1993–94,1,38,25,6,7,91,42,+49,56,Barcelona,"In the 1993-94 La Liga season, Barcelona finished with 74 points.",74.0,18.0
1993–94,2,38,22,12,4,54,18,+36,56,Deportivo La Coruña,Deportivo La Coruña finished the 1993-94 La Liga season with 56 points.,56.0,0.0
1993–94,3,38,19,8,11,71,47,+24,46,Zaragoza,"According to the records, Real Zaragoza finished the 1993-94 La Liga season with 45 points.",45.0,1.0
1993–94,4,38,19,7,12,61,50,+11,45,Real Madrid,Real Madrid finished the 1993-94 La Liga season with 75 points.,75.0,30.0
1993–94,5,38,16,11,11,61,47,+14,43,Athletic Bilbao,Athletic Bilbao finished the 1993-94 La Liga season with 43 points.,43.0,0.0
1993–94,6,38,15,12,11,56,42,+14,42,Sevilla,"According to the records, Sevilla finished the 1993-94 La Liga season with 29 points.",29.0,13.0
1993–94,7,38,14,12,12,55,50,+5,40,Valencia,"According to the records, in the 1993-94 La Liga season, Valencia finished with 45 points.",45.0,5.0
1993–94,8,38,15,8,15,44,42,+2,38,Racing Santander,Racing Santander finished the 1993-94 La Liga season with 29 points.,29.0,9.0
1993–94,9,38,12,13,13,43,49,−6,37,Oviedo,Oviedo finished the 1993-94 La Liga season with 42 points.,42.0,5.0
1993–94,10,38,15,6,17,50,57,−7,36,Tenerife,Tenerife finished the 1993-94 La Liga season with 36 points.,36.0,0.0
1993–94,11,38,12,12,14,39,47,−8,36,Real Sociedad,Real Sociedad finished the 1993-94 La Liga season with 29 points.,29.0,7.0
1993–94,12,38,13,9,16,54,54,0,35,Atlético Madrid,"According to the records, Atlético Madrid finished the 1993-94 La Liga season with 56 points.",56.0,21.0
1993–94,13,38,10,15,13,49,58,−9,35,Albacete,Albacete finished the 1993-94 La Liga season with 29 points.,29.0,6.0
1993–94,14,38,15,5,18,42,57,−15,35,Sporting Gijón,Sporting Gijón finished the 1993-94 La Liga season with 22 points.,22.0,13.0
1993–94,15,38,11,11,16,41,51,−10,33,Celta Vigo,Celta Vigo finished the 1993-94 La Liga season with 36 points.,36.0,3.0
1993–94,16,38,9,15,14,47,58,−11,33,Logroñés,Logroñés finished the 1993-94 La Liga season with 25 points.,25.0,8.0
1993–94,17,38,9,13,16,40,58,−18,31,Rayo Vallecano,"According to the records, Rayo Vallecano finished the 1993-94 La Liga season with 24 points.",24.0,7.0
1993–94,18,38,8,14,16,28,51,−23,30,Valladolid,"According to the records, Real Valladolid finished the 1993-94 La Liga season with 43 points.",43.0,13.0
1993–94,19,38,7,13,18,29,48,−19,27,Lleida,Lleida finished the 1993-94 La Liga season with 29 points.,29.0,2.0
1993–94,20,38,8,10,20,34,63,−29,26,Osasuna,"According to the records, Osasuna finished the 1993-94 La Liga season with 25 points.",25.0,1.0
1994–95,1,38,23,9,6,76,29,+47,55,Real Madrid,Real Madrid finished the 1994-95 La Liga season with 87 points.,87.0,32.0
1994–95,2,38,20,11,7,68,32,+36,51,Deportivo La Coruña,Deportivo La Coruña finished the 1994-95 La Liga season with 85 points.,85.0,34.0
1994–95,3,38,15,16,7,46,25,+21,46,Real Betis,Real Betis finished the 1994-95 La Liga season with 46 points.,46.0,0.0
1994–95,4,38,18,10,10,60,45,+15,46,Barcelona,"In the 1994-95 La Liga season, Barcelona finished with 63 points.",63.0,17.0
1994–95,5,38,16,11,11,55,41,+14,43,Sevilla[c],"According to the records, Sevilla finished the 1994-95 La Liga season with 43 points.",43.0,0.0
1994–95,6,38,14,15,9,51,35,+16,43,Espanyol[e],"According to the records, Espanyol finished the 1994-95 La Liga season with 36 points.",36.0,7.0
1994–95,7,38,18,7,13,56,51,+5,43,Zaragoza,"According to the records, Real Zaragoza finished the 1994-95 La Liga season with 23 points.",23.0,20.0
1994–95,8,38,16,10,12,39,42,−3,42,Athletic Bilbao,Athletic Bilbao finished the 1994-95 La Liga season with 46 points.,46.0,4.0
1994–95,9,38,13,13,12,45,42,+3,39,Oviedo,"According to the records, Real Oviedo finished the 1994-95 La Liga season with 45 points.",45.0,6.0
1994–95,10,38,13,12,13,53,48,+5,38,Valencia,"According to the records, in the 1994-95 La Liga season, Valencia finished with 61 points.",61.0,23.0
1994–95,11,38,12,14,12,56,44,+12,38,Real Sociedad,Real Sociedad finished the 1994-95 La Liga season with 46 points.,46.0,8.0
1994–95,12,38,13,10,15,42,47,−5,36,Racing Santander,Racing Santander finished the 1994-95 La Liga season with 41 points.,41.0,5.0
1994–95,13,38,11,14,13,36,48,−12,36,Celta Vigo[c],"According to the records, Celta Vigo finished the 1994-95 La Liga season with 42 points.",42.0,6.0
1994–95,14,38,13,9,16,56,54,+2,35,Atlético Madrid,"According to the records, Atlético Madrid finished the 1994-95 La Liga season with 74 points.",74.0,39.0
1994–95,15,38,13,9,16,57,57,0,35,Tenerife,Tenerife finished the 1994-95 La Liga season with 44 points.,44.0,9.0
1994–95,16,38,11,12,15,44,56,−12,34,Compostela,Compostela finished the 1994-95 La Liga season with 44 points.,44.0,10.0
1994–95,17,38,10,14,14,44,61,−17,34,Albacete[c],"According to the records, Albacete finished the 1994-95 La Liga season with 42 points.",42.0,8.0
1994–95,18,38,8,12,18,42,67,−25,28,Sporting Gijón,Sporting Gijón finished the 1994-95 La Liga season with 43 points.,43.0,15.0
1994–95,19,38,8,9,21,25,63,−38,25,Valladolid[c],"According to the records, Valladolid finished the 1994-95 La Liga season with 42 points.",42.0,17.0
1994–95,20,38,2,9,27,15,79,−64,13,Logroñés,Logroñés finished the 1994-95 La Liga season with 29 points.,29.0,16.0
1995–96,1,42,26,9,7,75,32,+43,87,Atlético Madrid,"According to the records, Atlético Madrid finished the 1995-96 La Liga season with 87 points.",87.0,0.0
1995–96,2,42,26,5,11,77,51,+26,83,Valencia,Valencia finished the 1995-96 La Liga season with 63 points.,63.0,20.0
1995–96,3,42,22,14,6,72,39,+33,80,Barcelona,"In the 1995-96 La Liga season, Barcelona finished with 92 points.",92.0,12.0
1995–96,4,42,20,14,8,63,36,+27,74,Espanyol,Espanyol finished the 1995-96 La Liga season with 45 points.,45.0,29.0
1995–96,5,42,20,12,10,69,54,+15,72,Tenerife,"According to the records, Tenerife finished the 1995-96 La Liga season with 46 points.",46.0,26.0
1995–96,6,42,20,10,12,75,51,+24,70,Real Madrid,Real Madrid finished the 1995-96 La Liga season with 92 points.,92.0,22.0
1995–96,7,42,17,12,13,62,53,+9,63,Real Sociedad,Real Sociedad finished the 1995-96 La Liga season with 63 points.,63.0,0.0
1995–96,8,42,16,14,12,61,54,+7,62,Real Betis,Real Betis finished the 1995-96 La Liga season with 46 points.,46.0,16.0
1995–96,9,42,16,13,13,63,44,+19,61,Deportivo La Coruña,Deportivo La Coruña finished the 1995-96 La Liga season with 84 points.,84.0,23.0
1995–96,10,42,17,8,17,47,54,−7,59,Compostela,Compostela finished the 1995-96 La Liga season with 39 points.,39.0,20.0
1995–96,11,42,12,16,14,49,51,−2,52,Celta Vigo,Celta Vigo finished the 1995-96 La Liga season with 74 points.,74.0,22.0
1995–96,12,42,11,15,16,43,55,−12,48,Sevilla,"According to the records, Sevilla finished the 1995-96 La Liga season with 63 points.",63.0,15.0
1995–96,13,42,11,15,16,51,59,−8,48,Zaragoza,"According to the records, Real Zaragoza finished the 1995-96 La Liga season with 59 points.",59.0,11.0
1995–96,14,42,12,12,18,48,67,−19,48,Oviedo,"According to the records, Real Oviedo finished the 1995-96 La Liga season with 56 points.",56.0,8.0
1995–96,15,42,11,15,16,44,55,−11,48,Athletic Bilbao,Athletic Bilbao finished the 1995-96 La Liga season with 68 points.,68.0,20.0
1995–96,16,42,11,14,17,57,62,−5,47,Valladolid,"According to the records, Real Valladolid finished the 1995-96 La Liga season with 43 points.",43.0,4.0
1995–96,17,42,11,14,17,47,69,−22,47,Racing Santander,Racing Santander finished the 1995-96 La Liga season with 46 points.,46.0,1.0
1995–96,18,42,13,7,22,51,60,−9,46,Sporting Gijón,Sporting Gijón finished the 1995-96 La Liga season with 46 points.,46.0,0.0
1995–96,19,42,12,8,22,47,75,−28,44,Rayo Vallecano,"According to the records, Rayo Vallecano finished the 1995-96 La Liga season with 43 points.",43.0,1.0
1995–96,20,42,10,12,20,55,81,−26,42,Albacete,Albacete finished the 1995-96 La Liga season with 48 points.,48.0,6.0
1995–96,21,42,10,12,20,37,62,−25,42,Mérida,Mérida finished the 1995-96 La Liga season with 13 points.,13.0,29.0
1995–96,22,42,8,9,25,53,82,−29,33,Salamanca,"According to the records, Salamanca finished the 1995-96 La Liga season with 36 points.",36.0,3.0
1996–97,1,42,27,11,4,85,36,+49,92,Real Madrid,Real Madrid finished the 1996-97 La Liga season with 92 points.,92.0,0.0
1996–97,2,42,28,6,8,102,48,+54,90,Barcelona,"In the 1996-97 La Liga season, Barcelona finished with 90 points.",90.0,0.0
1996–97,3,42,21,14,7,57,30,+27,77,Deportivo La Coruña,Deportivo La Coruña finished the 1996-97 La Liga season with 84 points.,84.0,7.0
1996–97,4,42,21,14,7,81,46,+35,77,Real Betis,Real Betis finished the 1996-97 La Liga season with 43 points.,43.0,34.0
1996–97,5,42,20,11,11,76,64,+12,71,Atlético Madrid,"According to the records, Atlético Madrid finished the 1996-97 La Liga season with 71 points.",71.0,0.0
1996–97,6,42,16,16,10,72,57,+15,64,Athletic Bilbao,Athletic Bilbao finished the 1996-97 La Liga season with 63 points.,63.0,1.0
1996–97,7,42,18,10,14,57,46,+11,64,Valladolid,"According to the records, Real Valladolid finished the 1996-97 La Liga season with 43 points.",43.0,21.0
1996–97,8,42,18,9,15,50,47,+3,63,Real Sociedad,Real Sociedad finished the 1996-97 La Liga season with 65 points.,65.0,2.0
1996–97,9,42,15,11,16,69,57,+12,56,Tenerife,"According to the records, Tenerife finished the 1996-97 La Liga season with 46 points.",46.0,10.0
1996–97,10,42,15,11,16,63,59,+4,56,Valencia,Valencia finished the 1996-97 La Liga season with 84 points.,84.0,28.0
1996–97,11,42,13,14,15,52,65,−13,53,Compostela,Compostela finished the 1996-97 La Liga season with 43 points.,43.0,10.0
1996–97,12,42,14,9,19,51,57,−6,51,Espanyol,Espanyol finished the 1996-97 La Liga season with 44 points.,44.0,7.0
1996–97,13,42,11,17,14,52,54,−2,50,Racing Santander,Racing Santander finished the 1996-97 La Liga season with 46 points.,46.0,4.0
1996–97,14,42,12,14,16,58,66,−8,50,Zaragoza,"According to the records, Real Zaragoza finished the 1996-97 La Liga season with 63 points.",63.0,13.0
1996–97,15,42,13,11,18,45,63,−18,50,Sporting Gijón,Sporting Gijón finished the 1996-97 La Liga season with 44 points.,44.0,6.0
1996–97,16,42,12,13,17,51,54,−3,49,Celta Vigo,Celta Vigo finished the 1996-97 La Liga season with 61 points.,61.0,12.0
1996–97,17,42,12,12,18,49,65,−16,48,Oviedo,Oviedo finished the 1996-97 La Liga season with 52 points.,52.0,4.0
1996–97,18,42,13,6,23,43,62,−19,45,Rayo Vallecano,"According to the records, Rayo Vallecano finished the 1996-97 La Liga season with 45 points.",45.0,0.0
1996–97,19,42,11,11,20,35,64,−29,44,Extremadura,Extremadura finished the 1996-97 La Liga season with 44 points.,44.0,0.0
1996–97,20,42,12,7,23,50,69,−19,43,Sevilla,"According to the records, Sevilla finished the 1996-97 La Liga season with 47 points.",47.0,4.0
1996–97,21,42,12,5,25,40,77,−37,41,Hércules,Hércules CF finished the 1996-97 La Liga season with 34 points.,34.0,7.0
1996–97,22,42,9,6,27,33,85,−52,33,Logroñés,Logroñés finished the 1996-97 La Liga season with 13 points.,13.0,20.0
1997–98,1,38,23,5,10,78,56,+22,74,Barcelona,Barcelona finished the 1997-98 La Liga season with 74 points.,74.0,0.0
1997–98,2,38,17,14,7,52,42,+10,65,Athletic Bilbao,Athletic Bilbao finished the 1997-98 La Liga season with 68 points.,68.0,3.0
1997–98,3,38,16,15,7,60,37,+23,63,Real Sociedad,Real Sociedad finished the 1997-98 La Liga season with 54 points.,54.0,9.0
1997–98,4,38,17,12,9,63,45,+18,63,Real Madrid,Real Madrid finished the 1997-98 La Liga season with 92 points.,92.0,29.0
1997–98,5,38,16,12,10,55,39,+16,60,Mallorca,Mallorca finished the 1997-98 La Liga season with 73 points.,73.0,13.0
1997–98,6,38,17,9,12,54,47,+7,60,Celta Vigo,Celta Vigo finished the 1997-98 La Liga season with 69 points.,69.0,9.0
1997–98,7,38,16,12,10,79,56,+23,60,Atlético Madrid,"According to the records, Atlético Madrid finished the 1997-98 La Liga season with 69 points.",69.0,9.0
1997–98,8,38,17,8,13,49,50,−1,59,Real Betis,Real Betis finished the 1997-98 La Liga season with 44 points.,44.0,15.0
1997–98,9,38,16,7,15,58,52,+6,55,Valencia,Valencia finished the 1997-98 La Liga season with 78 points.,78.0,23.0
1997–98,10,38,12,17,9,44,31,+13,53,Espanyol,Espanyol finished the 1997-98 La Liga season with 44 points.,44.0,9.0
1997–98,11,38,13,11,14,36,47,−11,50,Valladolid,"According to the records, Real Valladolid finished the 1997-98 La Liga season with 44 points.",44.0,6.0
1997–98,12,38,12,13,13,44,46,−2,49,Deportivo La Coruña,Deportivo La Coruña finished the 1997-98 La Liga season with 74 points.,74.0,25.0
1997–98,13,38,12,12,14,45,53,−8,48,Zaragoza,"According to the records, Real Zaragoza finished the 1997-98 La Liga season with 64 points.",64.0,16.0
1997–98,14,38,12,9,17,46,55,−9,45,Racing Santander,Racing Santander finished the 1997-98 La Liga season with 46 points.,46.0,1.0
1997–98,15,38,12,9,17,46,46,0,45,Salamanca,Salamanca finished the 1997-98 La Liga season with 27 points.,27.0,18.0
1997–98,16,38,11,12,15,44,57,−13,45,Tenerife,Tenerife finished the 1997-98 La Liga season with 39 points.,39.0,6.0
1997–98,17,38,11,11,16,56,66,−10,44,Compostela,Compostela finished the 1997-98 La Liga season with 44 points.,44.0,0.0
1997–98,18,38,9,13,16,36,51,−15,40,Oviedo,Oviedo finished the 1997-98 La Liga season with 52 points.,52.0,12.0
1997–98,19,38,9,12,17,33,53,−20,39,Mérida,Mérida finished the 1997-98 La Liga season with 13 points.,13.0,26.0
1997–98,20,38,2,7,29,31,80,−49,13,Sporting Gijón,Sporting Gijón finished the 1997-98 La Liga season with 13 points.,13.0,0.0
1998–99,1,38,24,7,7,87,43,+44,79,Barcelona,Barcelona finished the 1998-99 La Liga season with 79 points.,79.0,0.0
1998–99,2,38,21,5,12,77,62,+15,68,Real Madrid,Real Madrid finished the 1998-99 La Liga season with 68 points.,68.0,0.0
1998–99,3,38,20,6,12,48,31,+17,66,Mallorca,Mallorca finished the 1998-99 La Liga season with 66 points.,66.0,0.0
1998–99,4,38,19,8,11,63,39,+24,65,Valencia,Valencia finished the 1998-99 La Liga season with 77 points.,77.0,12.0
1998–99,5,38,17,13,8,69,41,+28,64,Celta Vigo,Celta Vigo finished the 1998-99 La Liga season with 63 points.,63.0,1.0
1998–99,6,38,17,12,9,55,43,+12,63,Deportivo La Coruña,Deportivo La Coruña finished the 1998-99 La Liga season with 67 points.,67.0,4.0
1998–99,7,38,16,13,9,49,38,+11,61,Espanyol,Espanyol finished the 1998-99 La Liga season with 61 points.,61.0,0.0
1998–99,8,38,17,9,12,53,47,+6,60,Athletic Bilbao[a],"According to the records, Athletic Bilbao finished the 1998-99 La Liga season with 67 points.",67.0,7.0
1998–99,9,38,16,9,13,57,46,+11,57,Zaragoza,"According to the records, Real Zaragoza finished the 1998-99 La Liga season with 63 points.",63.0,6.0
1998–99,10,38,14,12,12,47,43,+4,54,Real Sociedad,Real Sociedad finished the 1998-99 La Liga season with 62 points.,62.0,8.0
1998–99,11,38,14,7,17,47,58,−11,49,Real Betis,Real Betis finished the 1998-99 La Liga season with 47 points.,47.0,2.0
1998–99,12,38,13,9,16,35,44,−9,48,Valladolid,Valladolid finished the 1998-99 La Liga season with 40 points.,40.0,8.0
1998–99,13,38,12,10,16,54,50,+4,46,Atlético Madrid,"According to the records, Atlético Madrid finished the 1998-99 La Liga season with 46 points.",46.0,0.0
1998–99,14,38,11,12,15,41,57,−16,45,Oviedo,"According to the records, Real Oviedo finished the 1998-99 La Liga season with 42 points.",42.0,3.0
1998–99,15,38,10,12,16,41,53,−12,42,Racing Santander,Racing Santander finished the 1998-99 La Liga season with 46 points.,46.0,4.0
1998–99,16,38,11,7,20,36,63,−27,40,Alavés,Alavés finished the 1998-99 La Liga season with 69 points.,69.0,29.0
1998–99,17,38,9,12,17,27,53,−26,39,Extremadura,Extremadura finished the 1998-99 La Liga season with 47 points.,47.0,8.0
1998–99,18,38,8,12,18,47,63,−16,36,Villarreal,"Villarreal did not play in La Liga during the 1998-99 season. They were promoted to La Liga for the first time in their history in 1999-2000, after finishing third in Segunda División in 1998-99.",,
1998–99,19,38,7,13,18,41,63,−22,34,Tenerife,Tenerife finished the 1998-99 La Liga season with 46 points.,46.0,12.0
1998–99,20,38,7,6,25,29,66,−37,27,Salamanca,Salamanca finished the 1998-99 La Liga season with 27 points.,27.0,0.0
1999–2000,1,38,21,6,11,66,44,+22,69,Deportivo La Coruña,Deportivo La Coruña finished the 1999-2000 La Liga season with 69 points.,69.0,0.0
1999–2000,2,38,19,7,12,70,46,+24,64,Barcelona,"In the 1999-2000 La Liga season, Barcelona finished with 64 points.",64.0,0.0
1999–2000,3,38,18,10,10,59,39,+20,64,Valencia,Valencia finished the 1999-2000 La Liga season with 67 points.,67.0,3.0
1999–2000,4,38,16,15,7,60,40,+20,63,Zaragoza,"According to the records, Real Zaragoza finished the 1999-2000 La Liga season with 46 points.",46.0,17.0
1999–2000,5,38,16,14,8,58,48,+10,62,Real Madrid,Real Madrid finished the 1999-2000 La Liga season with 80 points.,80.0,18.0
1999–2000,6,38,17,10,11,41,37,+4,61,Alavés,Alavés finished the 1999-2000 La Liga season with 63 points.,63.0,2.0
1999–2000,7,38,15,8,15,45,43,+2,53,Celta Vigo,Celta Vigo finished the 1999-2000 La Liga season with 58 points.,58.0,5.0
1999–2000,8,38,14,11,13,36,44,−8,53,Valladolid,"According to the records, Real Valladolid finished the 1999-2000 La Liga season with 41 points.",41.0,12.0
1999–2000,9,38,15,7,16,51,53,−2,52,Rayo Vallecano,"According to the records, Rayo Vallecano finished the 1999-2000 La Liga season with 38 points.",38.0,14.0
1999–2000,10,38,14,9,15,52,45,+7,51,Mallorca,Mallorca finished the 1999-2000 La Liga season with 67 points.,67.0,16.0
1999–2000,11,38,12,14,12,47,57,−10,50,Athletic Bilbao,Athletic Bilbao finished the 1999-2000 La Liga season with 47 points.,47.0,3.0
1999–2000,12,38,11,15,12,55,50,+5,48,Málaga,Málaga finished the 1999-2000 La Liga season with 31 points.,31.0,17.0
1999–2000,13,38,11,14,13,42,49,−7,47,Real Sociedad,Real Sociedad finished the 1999-2000 La Liga season with 51 points.,51.0,4.0
1999–2000,14,38,12,11,15,51,48,+3,47,Espanyol,Espanyol finished the 1999-2000 La Liga season with 46 points.,46.0,1.0
1999–2000,15,38,10,16,12,52,50,+2,46,Racing Santander,Racing Santander finished the 1999-2000 La Liga season with 46 points.,46.0,0.0
1999–2000,16,38,11,12,15,44,60,−16,45,Oviedo,Oviedo finished the 1999-2000 La Liga season with 30 points.,30.0,15.0
1999–2000,17,38,11,12,15,47,59,−12,45,Numancia,Numancia finished the 1999-2000 La Liga season with 47 points.,47.0,2.0
1999–2000,18,38,11,9,18,33,56,−23,42,Real Betis,Real Betis finished the 1999-2000 La Liga season with 42 points.,42.0,0.0
1999–2000,19,38,9,11,18,48,64,−16,38,Atlético Madrid,"According to the records, Atlético Madrid finished the 1999-2000 La Liga season with 38 points.",38.0,0.0
1999–2000,20,38,5,13,20,42,67,−25,28,Sevilla,"According to the records, Sevilla finished the 1999-2000 La Liga season with 58 points.",58.0,30.0
2000–01,1,38,24,8,6,81,40,+41,80,Real Madrid,Real Madrid finished the 2000-01 La Liga season with 80 points.,80.0,0.0
2000–01,2,38,22,7,9,73,44,+29,73,Deportivo La Coruña,Deportivo La Coruña finished the 2000-01 La Liga season with 73 points.,73.0,0.0
2000–01,3,38,20,11,7,61,43,+18,71,Mallorca,"In the 2000-01 La Liga season, Mallorca finished with 57 points.",57.0,14.0
2000–01,4,38,17,12,9,80,57,+23,63,Barcelona,"In the 2000-01 La Liga season, Barcelona finished with 80 points.",80.0,17.0
2000–01,5,38,18,9,11,55,34,+21,63,Valencia,Valencia finished the 2000-01 La Liga season with 88 points.,88.0,25.0
2000–01,6,38,16,11,11,51,49,+2,59,Celta Vigo,Celta Vigo finished the 2000-01 La Liga season with 58 points.,58.0,1.0
2000–01,7,38,16,9,13,58,52,+6,57,Villarreal,Villarreal finished the 2000-01 La Liga season with 42 points.,42.0,15.0
2000–01,8,38,16,8,14,60,61,−1,56,Málaga,Málaga finished the 2000-01 La Liga season with 42 points.,42.0,14.0
2000–01,9,38,14,8,16,46,44,+2,50,Espanyol,Espanyol finished the 2000-01 La Liga season with 47 points.,47.0,3.0
2000–01,10,38,14,7,17,58,59,−1,49,Alavés,Alavés finished the 2000-01 La Liga season with 55 points.,55.0,6.0
2000–01,11,38,13,7,18,42,62,−20,46,Las Palmas,"Las Palmas was relegated to Segunda División at the end of the 1999-2000 season, so they did not participate in the 2000-01 La Liga season.",,
2000–01,12,38,11,10,17,44,60,−16,43,Athletic Bilbao,Athletic Bilbao finished the 2000-01 La Liga season with 43 points.,43.0,0.0
